title,Screen Size,Processor Brand,Processor Speed
"Lenovo ThinkBook 15 G5 IRL i5 1355U (21JD002FVN) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Lenovo Ideapad Slim 3 15IRH8 i7 13620H (83EM003EVN) (Intel UHD, 15.6 inches, 2.4GHz)",15.6 inches,Intel,2.4GHz
"Lenovo Ideapad Slim 5 14IAH8 i5 12450H (83BF003WVN) (Intel UHD, 14 inches, 2GHz)",14 inches,Intel,2GHz
"Lenovo Ideapad 3 15ITL6 i5 1155G7 (82H803CVVN) (Intel Iris Xe, 15.6 inches, 2.5GHz)",15.6 inches,Intel,2.5GHz
"Lenovo Ideapad 3 15IAU7 i5 1235U (82RK001PVN) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Lenovo Ideapad 5 14IAL7 i5 1235U (82SD0060VN) (Intel Iris Xe, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"Lenovo V14 G4 IRU i3 1315U (83A0000TVN) (Intel UHD, 14 inches, 1.2GHz)",14 inches,Intel,1.2GHz
"Dell Inspiron 15 3520 i5 1235U (25P231) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Dell Inspiron 15 3520 i5 1235U (i5U085W11BLU) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Dell Inspiron 15 3520 i5 1235U (71027003) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Dell Inspiron 15 3520 i3 1215U (71003264) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Dell Vostro 15 3520 i3 1215U (V5I3614W1) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Dell Inspiron 15 3520 i3 1215U (i3U082W11BLU) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Dell Vostro 15 3520 i5 1235U (V5I5610W1) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Dell Inspiron 15 3530 i7 1355U (N3530I716W1) (MX550 2GB, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"Dell Inspiron 15 3530 i7 1355U (71011775) (Intel UHD, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"Dell Vostro 15 3520 i3 1215U (5M2TT1) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Dell Inspiron 15 3530 i5 1335U (N3530-i5U085W11BLU) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Dell Vostro 14 3430 i5 1335U (71011900) (Intel UHD, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"Dell Inspiron 15 3530 i5 1335U (71014840) (MX550 2GB, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Dell Inspiron 15 3530 i5 1335U (N5I5791W1) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Dell Inspiron 14 7430 2-in-1 i7 1355U (i7U165W11SLU) (Intel Iris Xe, 14 inches, 1.7GHz)",14 inches,Intel,1.7GHz
"Dell Inspiron 15 3520 i5 1235U (N5I5122W1) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Dell Inspiron 14 T7430 i5 1335U (N7430I58W1) (Intel Iris Xe, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"Dell Precision 16 5680 i9 13900H (71024680) (RTX A2000 8GB, 16 inches, 2.6GHz)",16 inches,Intel,2.6GHz
"Dell Precision 16 7680 i9 13950HX (71024676) (RTX A2000 8GB, 16 inches, 2.2GHz)",16 inches,Intel Core i9,2.2GHz
"Dell Precision 16 7680 i7 13850HX (71024681) (RTX A2000 8GB, 16 inches, 2.1GHz)",16 inches,Intel,2.1GHz
"Dell Precision 15 3581 i7 13800H (71024679) (RTX A1000 6GB, 15.6 inches, 2.5GHz)",15.6 inches,Intel,2.5GHz
"Dell Precision 15 3581 i7 13800H (71024677) (RTX A500 4GB, 15.6 inches, 2.5GHz)",15.6 inches,Intel,2.5GHz
"Dell Precision 14 3480 i7 12800H (71024682) (RTX A500 4GB, 14 inches, 2.4GHz)",14 inches,Intel,2.4GHz
"Dell Gaming G15 5530 i7 13650HX (i7H165W11GR4060) (RTX 4060 8GB, 15.6 inches, 2.6GHz)",15.6 inches,Intel,2.6GHz
"Dell Inspiron 14 5430 i7 1360P (71015633) (RTX 2050 4GB, 14 inches, 2.2GHz)",14 inches,Intel,2.2GHz
"Dell Inspiron 14 5430 i5 1340P (N5430-i5P165W11SL2050) (RTX 2050 4GB, 14 inches, 1.9GHz)",14 inches,Intel,1.9GHz
"Dell Inspiron 16 5630 i5 1335U (71020244) (Intel Iris Xe, 16 inches, 1.3GHz)",16 inches,Intel,1.3GHz
"Dell Vostro 14 3430 i5 1335U (60YGM) (MX550 2GB, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"Dell Inspiron 15 3520 i5 1235U (N5I5011W1) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Dell Vostro 15 3520 i5 1235U (5M2TT2) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Dell Vostro 15 3530 i3 1305U (V5I3465W1) (Intel UHD, 15.6 inches, 1.6GHz)",15.6 inches,Intel,1.6GHz
"MSI Modern 14 C11M i3 1115G4 (011VN) (Intel UHD, 14 inches, 3GHz)",14 inches,Intel,3GHz
"MSI Gaming GF63 Thin 12UCX i5 12450H (873VN) (RTX 2050 4GB, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"MSI Modern 15 B7M R5 7530U (231VN) (Radeon, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"MSI Modern 15 B12MO i5 1235U (625VN) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"MSI Gaming GF63 12UC i5 12450H (803VN) (RTX 3050 4GB, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"MSI Gaming Bravo 15 B7ED R5 7535HS (010VN) (RX 6550M 4GB, 15.6 inches, 3.3GHz)",15.6 inches,AMD,3.3GHz
"MSI Gaming GF63 Thin 11UC i7 11800H (1228VN) (RTX 3050 Max-Q, 4GB, 15.6 inches, 2.30 GHz)",15.6 inches,Intel,2.30 GHz
"MSI Gaming GF63 Thin 12VE i5 12450H (460VN) (RTX 4050 6GB, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"MSI Gaming GF63 12UCX i5 12450H (841VN) (RTX 2050 4GB, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"MSI Modern 15 B12MO i5 1235U (628VN) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"MSI Modern 14 C7M R5 7530U (083VN) (Radeon, 14 inches, 2GHz)",14 inches,Intel,2GHz
"MSI Gaming Katana GF66 12UCK i7 12650H (804VN) (RTX 3050 4GB, 15.6 inches, 2.30 GHz)",15.6 inches,Intel,2.30 GHz
"MSI Gaming GF63 Thin 11UC i5 11400H (1230VN) (RTX 3050 Max-Q, 4GB, 15.6 inches, 2.7GHz)",15.6 inches,Intel,2.7GHz
"MSI Gaming Thin A15 B7UCX R5 7535HS (020VN) (RTX 2050 4GB, 15.6 inches, 3.3GHz)",15.6 inches,AMD,3.3GHz
"MSI Modern 15 B12MO i7 1255U (487VN) (Intel Iris Xe, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"MSI Modern 15 B13M i5 1335U (438VN) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"MSI Gaming GF63 Thin 11SC i5 11400H (664VN) (GTX 1650 Max-Q 4GB, 15.6 inches, 2.7GHz)",15.6 inches,Intel,2.7GHz
"MSI Modern 15 B7M R7 7730U (238VN) (Radeon, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"MSI Prestige 14 Evo B13M i5 13500H (401VN) (Intel Iris Xe, 14 inches, 2.6GHz)",14 inches,Intel,2.6GHz
"MSI Gaming Sword 16 HX B14VFKG i7 14700HX (045VN) (RTX 4060 8GB, 16 inches, 2.1GHz)",16 inches,Intel,2.1GHz
"MSI Gaming Titan 18 HX A14VIG i9 14900HX (205VN) (RTX 4090 16GB, 18 inches, 2.2GHz)",18 inches,Intel,2.2GHz
"MSI Gaming Stealth 16 AI Studio A1VGG Ultra 9 185H (089VN) (RTX 4070 8GB, 16 inches, 2.30 GHz)",16 inches,I do not know.,2.30 GHz
"MSI Prestige 16 AI Studio B1VFG Ultra 9 185H (082VN) (RTX 4060 8GB, 16 inches, 2.30 GHz)",16 inches,I do not know.,2.30 GHz
"MSI Gaming Stealth 14 AI Studio A1VFG Ultra 7 155H (050VN) (RTX 4060 8GB, 14 inches, 1.4GHz)",14 inches,Intel,1.4GHz
"MSI Prestige 16 Studio A13VE i7 13700H (214VN) (RTX 4050 6GB, 16 inches, 2.4GHz)",16 inches,Intel,2.4GHz
"MSI Gaming Sword 16 HX B14VEKG i7 14700HX (039VN) (RTX 4050 6GB, 16 inches, 2.1GHz)",16 inches,Intel,2.1GHz
"MSI Prestige 13 AI Evo A1MG Ultra 7 155H (062VN) (Intel Arc Graphics, 13.3 inches, 1.4GHz)",13.3 inches,Intel,1.4GHz
"MSI Gaming Katana A15 AI B8VF R7 8845HS (419VN) (RTX 4060 8GB, 15.6 inches, 3.8GHz)",15.6 inches,Intel,3.8GHz
"MSI Gaming Cyborg 15 AI A1VEK Ultra 7 155H (053VN) (RTX 4050 6GB, 15.6 inches, 1.4GHz)",15.6 inches,I do not know.,1.4GHz
"MSI Gaming Katana 15 B13VFK i7 13620H (676VN) (RTX 4060 8GB, 15.6 inches, 2.4GHz)",15.6 inches,Intel,2.4GHz
"MSI Gaming Katana A15 AI B8VE R7 8845HS (402VN) (RTX 4050 6GB, 15.6 inches, 3.8GHz)",15.6 inches,Intel,3.8GHz
"MSI Gaming Cyborg 15 A12UCX i5 12450H (281VN) (RTX 2050 4GB, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"HP 245 G10 R5-7520U (9H8X8PT) (Ryzen 5, 14 inches)",14 inches,AMD,I do not know.
"Asus Vivobook E1404FA-NK186W R5 7520U (Ryzen 5, 14.0 inches)",14.0 inches,Ryzen 5,I do not know.
"Lenovo Gaming LOQ - 15IAX9 i5 12450HX (83GS000GVN) (Core i5, 15.6 inches)",15.6 inches,Intel Core i5,I do not know.
"HP 14s-em0086AU R5 7520U (835T9PA) (Ryzen 5, 14 inches)",14 inches,AMD,I do not know.
"MSI Modern 14 C7M-221VN R7 7730U (Ryzen 7, 14.0 inches)",14.0 inches,Ryzen,I do not know.
"Acer Aspire 3 A315-44P-R5QG R7-5700U (Ryzen 7, 15.6 inches)",15.6 inches,Ryzen 7,I do not know.
"HP Pavilion Aero 13-be2098AU R7 7735U (8C5K5PA) (Ryzen 7, 13.3 inches)",13.3 inches,AMD,I do not know.
"Asus TUF Gaming FX507ZC4-HN095W i5 12500H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Lenovo Ideapad 3 15IAU7 i7 1255U (82RK00W4VN) (Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"MSI Modern 14 C7M-220VN R5 7530U (Ryzen 5, 14.0 inches)",14.0 inches,Ryzen 5,I do not know.
"Asus TUF Gaming FX506HF-HN017W i5 11400H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Dell Inspiron 15 N3530 i5 1335U (N5I5489W1) (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Asus Vivobook X1404ZA-NK387W i3 1215U (Core i3, 14 inches)",14 inches,Intel,I do not know.
"Lenovo IdeaPad 3 14IAH8 i5 12450H (83EQ0005VN) (Core i5, 14.0 inches)",14.0 inches,Intel,I do not know.
"MSI Gaming Thin GF63 12VE-454VN i5 12450H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Dell Inspiron 15 N3520 i5 1235U_N5I5011W1 (Core i5, 15.6 inches)",15.6 inches,Intel Core i5,I do not know.
"Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"HP 245 G10 R5 7520U (8F154PA) (Ryzen 5, 14.0 inches)",14.0 inches,Ryzen 5,I do not know.
"Acer Aspire 7 Gaming A715-76-57CY i5 12450H (NH.QGESV.004) (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"HP Pavilion 14-dv2073TU i5 1235U (7C0P2PA) (Core i5, 14.0 inches)",14.0 inches,Intel,I do not know.
"Asus Vivobook X1504VA-NJ526W i5 1335U (Core i5, 15.6 inches)",15.6 inches,Intel Core i5,I do not know.
"Lenovo IdeaPad 1 15ALC7 R5 5500U (82R400BYVN) (Ryzen 5, 15.6 inches)",15.6 inches,AMD,I do not know.
"Laptop HP 15s-fq5144TU i7-1255U (Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"Asus Vivobook M3504YA-L1268W R5 7530U (Ryzen 5, 15.6 inches)",15.6 inches,Ryzen 5,I do not know.
"HP 14s-em0078AU R5 7520U (80R28PA) (Ryzen 5, 14 inches)",14 inches,Ryzen,I do not know.
"Huawei MateBook D15 R7 5700U (Ryzen 7, 15.6 inches)",15.6 inches,AMD,I do not know.
"Asus Vivobook Flip TN3402YA-LZ188W R5 7530U (Ryzen 5, 14.0 inches)",14.0 inches,Ryzen 5,I do not know.
"HP Pavilion 14-dv2071TU i7 1255U (7C0W0PA) (Core i7, 14 inches)",14 inches,Intel Core i7,I do not know.
"MSI Gaming GF63 Thin 11UC-1228VN i7 11800H (Core i7, 15,6 inches)",15.6 inches,Intel,I do not know.
"HP Pavilion 14-dv2075TU i5 1235U (7C0W2PA) (Core i5, 14.0 inches)",14.0 inches,Intel,I do not know.
"Dell Vostro V3520 i5 1235U_71030559 (Core i5, 156 inches)",15.6 inches,Intel,I do not know.
"Asus Vivobook 16 X1605ZA-MB193W i3 1215U (Core i3, 16.0 inches)",16.0 inches,Intel,I do not know.
"Acer Aspire 3 A315-510P-34XZ i3 N305 (Core i3, 15.6 inches)",15.6 inches,Intel,I do not know.
"Asus Vivobook A1405VA-KM257W i5 13500H (Core i5, 14 inches)",14 inches,Intel,I do not know.
"Dell Inspiron 15 N3530 i7 1355U (N3530I716W1) (Core i7, 15.6 inches)",15.6 inches,Intel Core i7,I do not know.
"MSI Gaming GF63 12UCX-841VN i5 12450H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Acer Aspire 7 Gaming A715-76G-5806 i5 12450H (NH.QMFSV.002) (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Laptop Acer Aspire Lite AL15-51M-55NB i5-1155G7 (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Gigabyte Gaming G5 MF-F2VN313SH i5 12450H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Asus Vivobook A1405VA-KM059W i5 13500H (Core i5, 14 inches)",14 inches,Intel,I do not know.
"Asus TUF Gaming FA507NU-LP045W R7 7735HS (Ryzen 7, 15.6 inches)",15.6 inches,AMD,I do not know.
"Asus Vivobook Pro K3405VC-KM070W i9 13900H (Core i9, 14.0 inches)",14.0 inches,Intel Core i9,I do not know.
"Lenovo IdeaPad Slim 5 Light 14ABR8 R5 7530U (82XS0006VN) (Ryzen 5, 14 inches)",14 inches,AMD,I do not know.
"Asus TUF Gaming FX506HC-HN144W i5 11400H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"HP 15-fd0083TU i7 1355U (8D736PA) (Core i7, 15.6 inches)",15.6 inches,Intel Core i7,I do not know.
"Lenovo IdeaPad Slim 5 16IAH8 i5 12450H (83BG001XVN) (Core i5, 16 inches)",16 inches,Intel,I do not know.
"HP Pavilion 15-eg3112TU i7 1355U (8U6L9PA) (Core i7, 15.6 inches)",15.6 inches,Intel Core i7,I do not know.
"Acer Gaming Aspire 5 A515-58GM-53CM i5 13420H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Lenovo ThinkBook 14 G6 IRL i5-13500H (21KG00BXVN) (Core i5, 14 inches)",14 inches,Intel,I do not know.
"MSI Gaming GF63 Thin 12UC-1006VN i5 12450H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"MSI Gaming Alpha 15 B5EEK-203VN R5 5600H (Ryzen 5, 15.6 inches)",15.6 inches,AMD,I do not know.
"MSI Modern 15 B12MO-628VN i5 1235U (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Máy tính xách tay MSI Summit E14Evo A12M-211VN i7-1280P/16GB/512GB/14""FHD/Win11_Túi_Chuột_Đen (Core i7, 14.0 inches)",14.0 inches,Intel,I do not know.
"Máy tính xách tay MSI Gaming Raider GE77HX 12UHS-229VN i9-12900HX/64G/2T/17.3UHD/RTX3080Ti_16G/Win11 (Core i9, 17.3 inches)",17.3 inches,Intel,I do not know.
"MacBook Pro 16 2023 M2 Pro 12CPU 19GPU 16GB/1TB (M2 Pro, 16.2 inches)",16.2 inches,I do not know.,I do not know.
"MacBook Pro 14 2023 M3 Pro 12 CPU/18 GPU/18GB/1TB (M3 Pro, 14.2 inches)",14.2 inches,I do not know.,I do not know.
"MacBook Pro 14 2023 M3 Pro 11 CPU/14 GPU/18GB/512GB (M3 Pro, 14.2 inches)",14.2 inches,M3 Pro,I do not know.
"Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7/20XW00GDVN (Core i7, 14.0 inches)",14.0 inches,Intel,I do not know.
"LG Gram 16Z90R-G.AH76A5 i7-1360P (Core i7, 16.0 inches)",16.0 inches,Intel,I do not know.
"MacBook Pro 14 2023 M3 8 CPU/10 GPU/8GB/512GB (M3, 14.2 inches)",14.2 inches,I do not know.,I do not know.
"Máy tính xách tay MSI Gaming Katana 15 B13VGK-1211VN i7-13620H/16G/1T/15.6""FHD/RTX4070_8G/Win11_Balo (Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"MSI Creator M16 B13VE-830VN i7 13700H (Core i7, 16.0 inches)",16.0 inches,Intel,I do not know.
"Acer Swift Edge SFA16-41-R3L6 R7 6800U (NX.KABSV.002) (Ryzen 7, 16.0 inches)",16.0 inches,Ryzen 7,I do not know.
"Asus Zenbook 14 OLED UX3405MA-PP152W Core Ultra 7-155H (Core Ultra 7, 14 inches)",14 inches,I do not know.,I do not know.
"Laptop Asus TUF Gaming FX507VV-LP181W i7-13620H (Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"LG Gram 14Z90R-G.AH75A5 i7 1360P (Core i7, 14 inches)",14 inches,Intel Core i7,I do not know.
"Asus TUF Gaming F15 FX507VU-LP197W i7-13620H (Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"LG Gram 14T90R-G.AH55A5 i5-1340P (Core i5, 14.0 inches)",14.0 inches,Intel,I do not know.
"Asus Zenbook Flip UP3404VA-KN039W i7 1360P (Core i7, 14 inches)",14 inches,Intel Core i7,I do not know.
"MSI Gaming Cyborg 15 AI A1VE-053VN Ultra 7 155H (Core Ultra 7, 15.6 inches)",15.6 inches,I do not know.,I do not know.
"MacBook Air M2 13 2022 8CPU 8GPU 16GB 256GB (M2, 13.6 inches)",13.6 inches,I do not know.,I do not know.
"Lenovo Gaming LOQ - 15IRX9 i7 13650HX (83DV000NVN) (Core i7, 15.6 inches)",15.6 inches,Intel Core i7,I do not know.
"MSI Gaming Katana 15 B13VFK-676VN i7 13620H (Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"Asus TUF Gaming FX507ZV4-LP042W i7 12700H (Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"Dell Inspiron 14 2in1 T7430 i7 1355U (P172G001) (Core i7, 14 inches)",14 inches,Intel,I do not know.
"Asus Vivobook Pro K6502VU-MA089W i5 13500H (Core i5, 15.6 inches)",15.6 inches,Intel Core i5,I do not know.
"Asus Zenbook 14 OLED UX3405MA-PP151W Core Ultra 5-125H (Ultra 5 Meteor LakeCore Ultra 5, 14 inches)",14 inches,I do not know.,I do not know.
"Asus Zenbook 14 OLED UX3405MA-PP588W Ultra 5-125H (Ultra 5 Meteor Lake, 14 inches)",14 inches,Intel,I do not know.
"Gigabyte Gaming G6 KF-H3VN853SH i7-13620H (Core i7Core i7, 16 inches)",16 inches,Intel,I do not know.
"MacBook Air 15 inch M2 2023 8 CPU/10 GPU/8 GB/256 GB (M2, 15.0 inches)",I do not know.,I do not know.,I do not know.
"MSI Prestige 13Evo A13M-081VN i7 1360P (Core i7, 13.3 inches)",13.3 inches,Intel,I do not know.
"Asus Zenbook 14 OLED UX3402VA-KM068W i7 1360P (Core i7, 14 inches)",14 inches,Intel Core i7,I do not know.
"Acer Nitro V Gaming ANV15-51-55CA i5 13420H (NH.QN8SV.004) (Core i5, 15.6 inches)",15.6 inches,Intel Core i5,I do not know.
"Asus TUF Gaming FX507ZV4-LP041W i7 12700H (Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"Asus TUF Gaming FA507NV-LP046W R7 7735HS (Ryzen 7, 15.6 inches)",15.6 inches,AMD,I do not know.
"Asus TUF Gaming A15 FA507NV-LP110W R5-7535HS (Ryzen 5, 15.6 inches)",15.6 inches,AMD,I do not know.
"Macbook Air 13 2020 M1/16GB/256GB SSD (M1, 13.3 inches)",13.3 inches,Apple,I do not know.
"Acer Swift 3 SF314-512-741L i7 1260P (NX.K7JSV.001) (Core i7, 14.0 inches)",14.0 inches,Intel Core i7,I do not know.
"Asus Zenbook Flip UP3404VA-KN038W i5 1340P (Core i5, 14 inches)",14 inches,Intel,I do not know.
"MacBook Air M2 13 2022 8CPU 8GPU 8GB 256GB (M2, 13.6 inches)",13.6 inches,I do not know.,I do not know.
"Gigabyte Gaming G5 MF5-H2VN353SH i7 13620H (Core i7Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"HP ProBook 440 G10 i7 1360P (873C1PA) (Core i7, 14.0 inches)",14.0 inches,Intel Core i7,I do not know.
"Acer Nitro Gaming AN515-58-769J i7 12700H (NH.QFHSV.003) (Core i7, 15.6 inches)",15.6 inches,Intel Core i7,I do not know.
"Gigabyte Gaming G5 KF-E3VN313SH i5 12500H (Core i5, 15,6 inches)",15.6 inches,Intel Core i5,I do not know.
"Dell Inspiron 14 2in1 T7430 i5 1335U (N7430I58W1) (Core i5, 14.0 inches)",14.0 inches,Intel,I do not know.
"Asus Vivobook Flip TP3402VA-LZ118W i9 13900H (Core i9, 14 inches)",14 inches,Intel,I do not know.
"Lenovo Yoga Slim 6 14IRH8 i7 13700H (83E0000VVN) (Core i7, 14 inches)",14 inches,Intel,I do not know.
"Máy tính xách tay MSI Summit E14 Flip Evo A12MT-210VN i7-1280P/16GB/512GB/14""QHD/Win11_Túi_Bút_Đen (Core i7, 14.0 inches)",14.0 inches,Intel,I do not know.
"Acer Swift X SFX16-51G-50GS i5 11320H (NX.AYLSV.002) (Core i5, 16.1 inches)",16.1 inches,Intel,I do not know.
"Gigabyte Gaming G5 MF5-52VN353SH i5 13500H (Core i5Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Asus Vivobook S3405VA-KM071W i9 13900H (Core i9, 14.0 inches)",14.0 inches,Intel,I do not know.
"Asus TUF Gaming FA507NU-LP034W R7 7735HS (Ryzen 7, 15.6 inches)",15.6 inches,AMD,I do not know.
"HP Gaming Victus 16-s0078AX R5 7640HS (8C5N7PA) (Ryzen 5, 16.0 inches)",16.0 inches,Ryzen 5,I do not know.
"Acer Nitro 5 Tiger Gaming AN515-58-52SP i5 12500H (NH.QFHSV.001) (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Asus Vivobook S3504VA-L1227WS i7 1360P (Core i7, 15.6 inches)",15.6 inches,Intel Core i7,I do not know.
"MSI Prestige 14Evo B13M-401VN i5 13500H (Core i5, 14.0 inches)",14.0 inches,Intel,I do not know.
"Asus Vivobook Pro K3405ZF-KM184W i5-12500H (Core i5, 14 inches)",14 inches,Intel,I do not know.
"Lenovo Gaming LOQ 15IAX9 i5-12450HX (83GS001RVN) (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"HP ProBook 440 G10 i5 1340P (873B2PA) (Core i5, 14.0 inches)",14.0 inches,Intel,I do not know.
"Lenovo Thinkpad E14 G5 T i5 1335U (21JK006BVN) (Core i5, 14 inches)",14 inches,Intel,I do not know.
"Lenovo Thinkpad T14s Gen 2 i5 1145G7 (20WMS1EE00) (Core i5, 14 inches)",14 inches,Intel Core i5,I do not know.
"HP Gaming Victus 15-fb1022AX R5-7535HS (94F19PA) (Ryzen 5, 15.6 inches)",15.6 inches,AMD,I do not know.
"Lenovo Ideapad Gaming 3 15ARH7 R5 7535HS (82SB00JUVN) (Ryzen 5, 15.6 inches)",15.6 inches,AMD,I do not know.
"HP Gaming Victus 16-e1104AX R7 6800H (7C0S9PA) (Ryzen 7, 16.1 inches)",16.1 inches,AMD,I do not know.
"Asus Zenbook UX3402ZA-KM218W i5 1240P (Core i5, 14.0 inches)",14.0 inches,Intel Core i5,I do not know.
"Asus TUF Gaming FX517ZC-HN077W i5 12450H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"HP Pavilion 14-dv2072TU i7 1255U (7C0W1PA) (Core i7, 14.0 inches)",14.0 inches,Intel Core i7,I do not know.
"HP Pavilion 15-eg3111TU i5 1335U (8U6L8PA) (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Macbook Air 13 2020 M1/8GB/256GB SSD (M1, 13.3 inches)",13.3 inches,Apple,I do not know.
"Lenovo ThinkPad E14 Gen 4 i7 1255U (21E300E3VN) (Core i7, 14.0 inches)",14.0 inches,Intel,I do not know.
"Lenovo ThinkBook 15 G5 ABP R5 7530U (21JF001SVN) (Ryzen 5, 15.6 inches)",15.6 inches,AMD,I do not know.
"Acer Gaming Aspire 5 A515-58GM-59QZ i5 13420H (NX.KQ4SV.006) (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"HP Pavilion 15-eg3095TU i5 1335U (8C5L6PA) (Core i5, 15.6 inches)",15.6 inches,Intel Core i5,I do not know.
"Lenovo IdeaPad Slim 5 14IRL8 i5 13500H (82XD002VVN) (Core i5, 14.0 inches)",14.0 inches,Intel,I do not know.
"Gigabyte Gaming A5 K1-AVN1030SB R5 5600H (Ryzen 5, 15.6 inches)",15.6 inches,Ryzen,I do not know.
"Lenovo ThinkBook 14 G4 IAP i5 1235U (21DH00BAVN) (Core i5, 14.0 inches)",14.0 inches,Intel,I do not know.
"MSI Gaming Cyborg 15 A12UCX-618VN i5 12450H (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"Acer Aspire 7 Gaming A715-76G-55T6 i5 12450H (NH.QMYSV.003) (Core i5, 15.6 inches)",15.6 inches,Intel Core i5,I do not know.
"HP 15-fd0079TU i5 1335U (8D732PA) (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"HP 15s-fq5146TU i7 1255U (7C0R9PA) (Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"HP 15s fq5160TU i5 1235U (7C0S1PA) (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
"HP 15s-fq5146TU i7 1255U (7C0R9PA) (Core i7, 15.6 inches)",15.6 inches,Intel,I do not know.
"Acer Nitro 5 Gaming AN515-57-53F9 i5 11400H (NH.QENSV.008) (Core i5, 15.6 inches)",15.6 inches,Intel,I do not know.
